location,year,age,gender,value
Low-middle SDI,2006,70+,female,2837.1550825554696
Low-middle SDI,2007,70+,female,2856.4704975750174
Low-middle SDI,2008,70+,female,2852.970054112365
Low-middle SDI,2009,70+,female,2802.417057940587
Low-middle SDI,2010,70+,female,2770.8379288895258
Low-middle SDI,2011,70+,female,2752.02967914012
Low-middle SDI,2012,70+,female,2760.242259723409
Low-middle SDI,2013,70+,female,2804.8619817834065
Low-middle SDI,2014,70+,female,2851.371641381057
Low-middle SDI,2015,70+,female,2803.115025231967
Low-middle SDI,2016,70+,female,2788.143367857889
Low-middle SDI,2017,70+,female,2783.789826130899
Low-middle SDI,2018,70+,female,2779.041914138565
Low-middle SDI,2019,70+,female,2760.948877212621
Low-middle SDI,2020,70+,female,2721.896367828706
Low-middle SDI,2021,70+,female,2662.436422061801
Middle SDI,1990,70+,female,3362.1342082576907
Middle SDI,1991,70+,female,3330.0919662475776
Middle SDI,1992,70+,female,3335.32987157558
Middle SDI,1993,70+,female,3306.551624478562
Middle SDI,1994,70+,female,3285.004580426868
Middle SDI,1995,70+,female,3264.229081527296
Middle SDI,1996,70+,female,3217.5617895462715
Middle SDI,1997,70+,female,3133.1884806306284
Middle SDI,1998,70+,female,3089.689821081082
Middle SDI,1999,70+,female,3062.8884116304653
Middle SDI,2000,70+,female,3049.174179047078
Middle SDI,2001,70+,female,3054.456828623341
Middle SDI,2002,70+,female,3057.394818157777
Middle SDI,2003,70+,female,3061.0862254301387
Middle SDI,2004,70+,female,3061.126254579219
Middle SDI,2005,70+,female,3011.778013457389
Middle SDI,2006,70+,female,2880.433472560707
Middle SDI,2007,70+,female,2833.5873152562176
Middle SDI,2008,70+,female,2866.479133452908
Middle SDI,2009,70+,female,2885.6644050813184
Middle SDI,2010,70+,female,2892.0582051838064
Middle SDI,2011,70+,female,2879.422951292939
Middle SDI,2012,70+,female,2817.1428426262587
Middle SDI,2013,70+,female,2805.637061343293
Middle SDI,2014,70+,female,2781.1344952009777
Middle SDI,2015,70+,female,2738.9146419138515
Middle SDI,2016,70+,female,2725.9193507712303
Middle SDI,2017,70+,female,2688.537336932121
Middle SDI,2018,70+,female,2655.430770325514
Middle SDI,2019,70+,female,2615.343566686769
Middle SDI,2020,70+,female,2584.548508987739
Middle SDI,2021,70+,female,2543.313068928771
High-middle SDI,1990,70+,female,4476.425879119907
High-middle SDI,1991,70+,female,4453.433208478531
